time,type,spot_price,perp_price,funding_rate,allocated_capital,current_capital,reason,fees,trade_pnl_before_fees,trade_pnl_after_fees,cumulative_pnl_after_fees
2767,entry,12.201,12.203,1.25e-05,97698.49117885511,109773.58559421923,Entry: Perp > Spot & Funding Rate > Threshold,112.35326485568338,0.0,0.0,9773.585594219227
2778,exit,14.233,14.166,-4.06684e-05,97698.49117885511,109620.93170175227,Stop-loss,53.73417014837032,13.43354253709258,-152.6538924669611,9620.931701752266
2780,entry,13.87,13.884,1.25e-05,97562.62921455952,109620.93170175227,Entry: Perp > Spot & Funding Rate > Threshold,112.19702359674345,0.0,0.0,9620.931701752266
2791,exit,13.586,13.583,-6.941e-06,97562.62921455952,109468.49009360452,Funding rate < Threshold,53.65944606800774,13.414861517001937,-152.44160814774926,9468.490093604518
2792,entry,13.817,13.823,1.25e-05,97426.95618330802,109468.49009360452,Entry: Perp > Spot & Funding Rate > Threshold,112.04099961080422,0.0,0.0,9468.490093604518
2809,exit,13.801,13.788,-3.06893e-05,97426.95618330802,109323.56749628184,Funding rate < Threshold,53.58482590081942,20.703228188952956,-144.9225973226707,9323.567496281847
2810,entry,14.369,14.377,1.25e-05,97297.97507169085,109323.56749628184,Entry: Perp > Spot & Funding Rate > Threshold,111.89267133244446,0.0,0.0,9323.567496281847
2824,exit,15.037,15.027,-9.8636e-06,97297.97507169085,109174.41229835288,Funding rate < Threshold,53.51388628942997,16.251359692906785,-149.15519792896765,9174.41229835288
2826,entry,15.625,15.639,1.25e-05,97165.22694553406,109174.41229835288,Entry: Perp > Spot & Funding Rate > Threshold,111.74001098736416,0.0,0.0,9174.41229835288
2827,exit,15.536,15.513,-1.3879e-06,97165.22694553406,109010.4459778823,Funding rate < Threshold,53.44087482004373,1.2145653368191758,-163.96632047058873,9010.445977882291
2828,entry,15.735,15.743,1.25e-05,97019.29692031525,109010.4459778823,Entry: Perp > Spot & Funding Rate > Threshold,111.57219145836252,0.0,0.0,9010.445977882291
2833,exit,15.435,15.423,-5.4311e-06,97019.29692031525,108851.57687917528,Funding rate < Threshold,53.36061330617339,6.0637060575197035,-158.8690987070162,8851.576879175274
2840,entry,15.806,15.809,1.25e-05,96877.903422466,108851.57687917528,Entry: Perp > Spot & Funding Rate > Threshold,111.4095889358359,0.0,0.0,8851.576879175274
2842,exit,15.702,15.689,-1.648e-07,96877.903422466,108689.30639094264,Funding rate < Threshold,53.2828468823563,2.42194758556165,-162.27048823263056,8689.306390942644
2845,entry,15.398,15.401,1.25e-05,96733.48268793896,108689.30639094264,Entry: Perp > Spot & Funding Rate > Threshold,111.2435050911298,0.0,0.0,8689.306390942644
2865,exit,16.168,16.171,-3.403e-07,96733.48268793896,108551.21830935734,Funding rate < Threshold,53.20341547836643,26.358838984198606,-138.08808158529763,8551.218309357346
2866,entry,16.144,16.153,1.25e-05,96610.58429532804,108551.21830935734,Entry: Perp > Spot & Funding Rate > Threshold,111.10217193962724,0.0,0.0,8551.218309357346
2873,exit,15.62,15.605,-2.7981e-06,96610.58429532804,108394.20509707535,Funding rate < Threshold,53.13582136243043,7.224781020065369,-157.0132122819923,8394.205097075353
